Name,Total Rating,Review Count,Price Range,Address Region,Food,Service,Value,Atmosphere,Excellent,Very good,Average,Poor,Terrible
Nikomi Suzuya,4.0,7,$$ - $$$,Kinki,4.0,3.5,4.0,,28%,58%,14%,0%,0%
Masutani Kyoko Ramen Koji,3.5,73,$$ - $$$,Kinki,,,,,,,,,
Arashiyama,4.5,7,,Kinki,,,,,58%,28%,0%,14%,0%
Gion Moriwaki,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Bazu,4.0,10,$$ - $$$,Kinki,,,,,50%,20%,20%,0%,10%
Jidaiya,4.0,8,$$ - $$$,Kinki,,,,,,,,,
Boogaloo Cafe Hyakumanben,4.0,9,$$ - $$$,Kinki,,,,,22%,56%,22%,0%,0%
Altre Tanto,4.0,6,$$ - $$$,Kinki,,,,,,,,,
Yoshimura Kitasanro,3.5,12,,Kinki,3.0,3.0,4.0,,25%,34%,25%,16%,0%
Cafe Chanoma,4.5,6,,Kinki,,,,,51%,33%,16%,0%,0%
Marugameseimen,4.0,10,$,Kinki,,,,,20%,50%,30%,0%,0%
Minami,4.0,9,,Kinki,,,,,,,,,
Udonya Bono,4.0,6,,Kinki,,,,,16%,84%,0%,0%,0%
Gozukon,4.5,6,,Kinki,,,,,51%,33%,16%,0%,0%
Matsumoto,4.0,9,$$ - $$$,Kinki,,,,,45%,33%,11%,0%,11%
Kyo Yasaka,4.0,7,$$ - $$$,Kinki,,,,,28%,58%,14%,0%,0%
Kyoto Arashiyama Onsen Togetsutei,3.5,13,,Kinki,4.0,4.0,3.0,,15%,48%,30%,7%,0%
Conana 4jo,4.0,7,$$ - $$$,Kinki,,,,,14%,72%,14%,0%,0%
Yoshoku Kalmia,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Yosuko,4.5,11,$,Kinki,5.0,4.5,5.0,,46%,45%,9%,0%,0%
Bar Oku,4.5,6,$$ - $$$,Kinki,,,,,50%,50%,0%,0%,0%
Ramen Daiei,4.0,8,$,Kinki,,,,,37%,12%,51%,0%,0%
Hyakuren,4.0,9,,Kinki,,,,,11%,67%,22%,0%,0%
Sosaku-Ryori-To-Kyoyasai-No-Bistro Kizano,4.0,9,$$ - $$$,Kinki,,,,,22%,45%,33%,0%,0%
Dommaru Kyo no Uogashi Sanjo,4.0,10,,Kinki,,,,,40%,30%,30%,0%,0%
Daikiku,5.0,7,$$$$,Kinki,,,,,,,,,
Hatsuneya,4.0,6,,Kinki,,,,,51%,16%,33%,0%,0%
Hot Pot Hidetora,5.0,4,,Kinki,,,,,100%,0%,0%,0%,0%
Kyo Ryoritan-Ya,4.5,6,,Kinki,,,,,,,,,
Ushi no Hone main branch,3.5,15,,Kinki,3.5,3.5,3.0,,33%,42%,6%,6%,13%
Million,4.0,6,,Kinki,,,,,16%,84%,0%,0%,0%
Dairiki-tei,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Ichizenya Kyoto,4.0,8,,Kinki,,,,,,,,,
Tobariya Kyoto Eki-Mae,4.0,10,$$ - $$$,Kinki,,,,,10%,60%,30%,0%,0%
"Honke Owariya, Nishiki Tominokoji",4.0,8,,Kinki,,,,,,,,,
Adan Kyoto Station,4.5,5,,Kinki,,,,,60%,40%,0%,0%,0%
Tempura Shinjuku Tsunahachi Kyoto Takashimaya,4.0,9,,Kinki,,,,,,,,,
Komaitei,4.0,8,,Kinki,,,,,,,,,
Ukiya Kyoto Bunka Hakubutsukan,3.5,12,$$ - $$$,Kinki,3.5,3.5,3.5,,0%,67%,33%,0%,0%
Kushihachi Saiin,4.5,6,,Kinki,,,,,51%,33%,16%,0%,0%
Madam Koran,4.0,7,,Kinki,,,,,14%,86%,0%,0%,0%
"Indian Restaurant Raju, Yamashina Honten",4.0,8,$$ - $$$,Kinki,,,,,25%,63%,12%,0%,0%
Toriimoto,4.5,6,,Kinki,,,,,33%,67%,0%,0%,0%
Zuzu,5.0,6,$$ - $$$,Kinki,,,,,84%,16%,0%,0%,0%
Coral,5.0,4,,Kinki,,,,,,,,,
Regina,4.0,8,$$ - $$$,Kinki,,,,,12%,63%,25%,0%,0%
Ogami,4.5,6,,Kinki,,,,,,,,,
Banzai Restaurant Hitotsu No Osara,4.5,6,$$ - $$$,Kinki,,,,,84%,0%,0%,16%,0%
Oshokuya Kappa,4.5,5,$$$$,Kinki,,,,,80%,0%,20%,0%,0%
Kyoto Cuisine Hamatoku Hearton Hotel Kyoto,4.0,8,,Kinki,,,,,38%,37%,25%,0%,0%
Onishi,3.5,20,,Kinki,4.5,4.0,4.5,4.0,60%,5%,5%,5%,25%
Rakuan,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Sumibi Kazuya,4.5,6,$$ - $$$,Kinki,,,,,,,,,
Cour au Midi,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Yunocha-Ya,4.0,9,,Kinki,,,,,22%,67%,0%,11%,0%
Bar Del Nonno,4.0,6,,Kinki,,,,,,,,,
Shokusai Kobo Madoi,4.0,6,,Kinki,,,,,51%,16%,33%,0%,0%
Yobanashi Ninomaru,4.0,9,,Kinki,,,,,0%,78%,22%,0%,0%
Shichifukuya,4.0,10,$$ - $$$,Kinki,,,,,,,,,
Page One,4.0,11,$$ - $$$,Kinki,,,,,18%,64%,9%,0%,9%
Tenjindo,4.5,7,,Kinki,,,,,28%,72%,0%,0%,0%
Min Min Momoyama,4.0,10,$,Kinki,4.5,4.5,4.5,,40%,30%,30%,0%,0%
Daigabana Extra,4.5,4,$$ - $$$,Kinki,,,,,50%,50%,0%,0%,0%
Ichihana,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Italian Bar Kyoto Kimuraya,4.0,8,$$ - $$$,Kinki,,,,,25%,50%,25%,0%,0%
Uo Gokoro Izakaya Ran Karasuma Takaji,4.0,6,,Kinki,,,,,33%,51%,16%,0%,0%
Subway Keihan Kiyomizu Gojo,4.5,7,,Kinki,,,,,58%,28%,14%,0%,0%
Patisserie Fleur,4.5,5,,Kinki,,,,,60%,20%,20%,0%,0%
Taiga,4.5,6,,Kinki,,,,,51%,33%,16%,0%,0%
Mitsuru,4.0,10,$$ - $$$,Kinki,4.0,3.5,3.5,,20%,40%,40%,0%,0%
Sakura Bar,5.0,5,$$ - $$$,Kinki,,,,,80%,20%,0%,0%,0%
Tomikoji Uroco,4.0,7,,Kinki,,,,,28%,44%,28%,0%,0%
Shimogamo Seryo,5.0,7,,Kinki,,,,,86%,14%,0%,0%,0%
Bistro Chez Momo,4.5,4,$$$$,Kinki,,,,,50%,50%,0%,0%,0%
Harukami,4.0,12,,Kinki,4.0,3.0,4.0,,33%,43%,8%,8%,8%
Maaya,3.5,13,$$ - $$$,Kinki,4.0,4.0,3.5,,23%,30%,40%,7%,0%
Sanjo Sarashina,4.0,6,,Kinki,,,,,16%,84%,0%,0%,0%
Il Tobanchi,5.0,5,,Kinki,,,,,80%,20%,0%,0%,0%
Enya Nishiki,4.5,9,,Kinki,4.5,4.0,4.0,,58%,28%,14%,0%,0%
Speak Easy Shugakuin,4.0,8,,Kinki,,,,,51%,25%,12%,12%,0%
Very Berry Cafe Kitashirakawa,4.0,10,$$ - $$$,Kinki,,,,,16%,84%,0%,0%,0%
Kuzushi Kaiseki Restaurant Midori,4.5,6,,Kinki,,,,,84%,0%,0%,16%,0%
Kayukouji Edogawa,5.0,4,$$ - $$$,Kinki,,,,,75%,25%,0%,0%,0%
Torosaba Ryori Sabar,3.5,11,,Kinki,,,,,18%,46%,27%,9%,0%
Muten Kurazushi Nishijin,4.0,9,,Kinki,,,,,,,,,
Kyoto Western Confectionery Jouvencelle Sanjo,3.5,12,$$ - $$$,Kinki,,,,,,,,,
Kinoya,4.0,7,,Kinki,,,,,44%,28%,14%,14%,0%
Restaurant hidamarino,4.5,5,$$ - $$$,Kinki,,,,,,,,,
Ramensoyumewokatare,3.5,16,$,Kinki,4.0,3.0,4.0,,6%,51%,37%,6%,0%
Saryo Benzi,4.0,6,,Kinki,,,,,,,,,
Oreno Pan Okumura Karasuma Main Store,4.0,9,$$ - $$$,Kinki,4.0,4.0,3.5,,11%,56%,33%,0%,0%
Kitchen Abe,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Kushikatsu Furaisenmon Kushinobo Kyotostationten The Cube,3.5,21,$$ - $$$,Kinki,4.0,4.0,4.0,,18%,45%,31%,0%,6%
Sakontaro Kyotohonten,4.0,11,$$ - $$$,Kinki,4.0,3.5,4.0,,18%,64%,0%,18%,0%
Shioriya Kyoto Shijo Karasuma,3.5,18,$$ - $$$,Kinki,3.5,3.5,3.5,,21%,44%,28%,0%,7%
Wine Cafe Kyoto Karasuma,5.0,4,$$ - $$$,Kinki,,,,,75%,25%,0%,0%,0%
Dumplings Gozukon,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
Shogetsu,5.0,5,$$ - $$$,Kinki,5.0,5.0,4.5,,80%,20%,0%,0%,0%
Gyoza-No-Ohsho Kita-Shirakawa,3.5,13,$,Kinki,,,,,7%,63%,23%,7%,0%
Kyoto Nishiki Chuobeikoku,4.0,12,,Kinki,,,,,,,,,
Ishimatsu,4.5,5,,Kinki,,,,,60%,40%,0%,0%,0%
Matcha Cafe & Dining H4M,5.0,4,$$ - $$$,Kinki,,,,,,,,,
Ikariya Coffee Kyoto,4.0,5,$,Kinki,,,,,,,,,
Sushi Ishimatsu,5.0,4,,Kinki,,,,,,,,,
Charming Chahan,4.0,7,,Kinki,,,,,28%,44%,28%,0%,0%
Shunsai Shungyo Kukaisan,4.0,7,,Kinki,,,,,58%,28%,0%,0%,14%
Kyo-No-Tori-Dokoro Hachikian,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Wagamamaya,4.0,7,,Kinki,,,,,,,,,
Bar C&D Kiyamachi,5.0,4,,Kinki,,,,,,,,,
Sazankatei Main Store,4.0,10,$$ - $$$,Kinki,,,,,20%,50%,20%,10%,0%
Tantoro,4.5,5,$$ - $$$,Kinki,,,,,80%,0%,20%,0%,0%
Tachinomi Gabana,4.0,6,,Kinki,,,,,,,,,
Chakra,4.0,43,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,47%,28%,14%,4%,7%
Chikyuya,4.0,8,$,Kinki,4.0,4.0,4.5,,38%,37%,25%,0%,0%
Machiya Sweets Studio Bonraku Nijo,4.0,7,,Kinki,,,,,,,,,
Kamakura Pasta kyoto Fushimi,4.0,7,,Kinki,,,,,14%,72%,14%,0%,0%
Yoshiya Arashiyama Honten,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Cacao & Magic,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Yugyoan Honten,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Daikonnohana,4.0,8,$$ - $$$,Kinki,,,,,38%,25%,37%,0%,0%
Marutsune,4.0,6,,Kinki,,,,,,,,,
Yakiniku Hiron,5.0,4,,Kinki,,,,,,,,,
Wittamer Kyoto Daimaru,3.5,11,,Kinki,,,,,18%,36%,46%,0%,0%
Kibunesou,3.5,28,$$$$,Kinki,,,,,,,,,
Kyogoku Dining,4.0,6,,Kinki,,,,,,,,,
Bumbukuchaya,4.5,5,,Kinki,,,,,60%,20%,20%,0%,0%
Cinque Ikariya,4.0,8,,Kinki,,,,,,,,,
Chabuton,4.0,12,$$ - $$$,Kinki,3.5,3.5,3.5,,34%,25%,33%,8%,0%
AWOMB Gion Yasaka,5.0,3,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Baikal Porta,4.5,5,,Kinki,,,,,,,,,
Daitsuru,4.0,7,,Kinki,,,,,14%,72%,14%,0%,0%
Restaurant Ogawa,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Pizzeria da Ciro,5.0,3,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Oimatsu Daimaru Kyoto,4.0,9,,Kinki,,,,,11%,56%,33%,0%,0%
Nishijin Fujiyoshi,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Fujiyoshi,5.0,4,,Kinki,,,,,100%,0%,0%,0%,0%
Chikazen,4.0,12,,Kinki,4.5,4.0,4.0,,33%,43%,16%,0%,8%
Chippendale,4.5,5,$$ - $$$,Kinki,,,,,,,,,
Kyomachi Okudo Juniya,4.5,8,,Kinki,,,,,,,,,
Gyutatsu Kyoto Katsugyu Gion Yasaka,4.0,7,$$ - $$$,Kinki,4.0,3.5,3.5,,44%,28%,14%,14%,0%
Vino Gappo,4.5,7,,Kinki,,,,,58%,14%,28%,0%,0%
Umekoji Park Cafe,3.5,21,$$ - $$$,Kinki,3.5,3.0,3.0,,14%,28%,49%,9%,0%
Tontonyana,5.0,5,,Kinki,,,,,,,,,
Kyo Kamo Cuisine Hajime,5.0,3,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Gebacken Fukakusa Main Store,4.5,6,,Kinki,,,,,,,,,
Omonosato,4.0,7,$$ - $$$,Kinki,4.5,4.0,4.0,,14%,86%,0%,0%,0%
Kyoto Shirakawain,4.0,7,,Kinki,,,,,,,,,
Culotte,4.0,9,$,Kinki,,,,,56%,22%,0%,11%,11%
"Yakitori Ichiban, 5-jo Omiya",4.0,8,$,Kinki,,,,,25%,63%,12%,0%,0%
Sandaime Curry-Ya Nandi,4.5,5,$$ - $$$,Kinki,,,,,40%,60%,0%,0%,0%
Hanahana,4.5,5,$$ - $$$,Kinki,,,,,,,,,
Shava Liva,3.5,21,$$ - $$$,Kinki,4.0,4.0,4.0,,18%,45%,25%,0%,12%
Goma Tofu & Japanese Cafe Kisanjina,4.0,8,$,Kinki,,,,,25%,51%,12%,12%,0%
Kabukizushi,4.0,6,,Kinki,,,,,16%,84%,0%,0%,0%
Mentaiken,4.0,8,,Kinki,,,,,38%,25%,37%,0%,0%
Ryuan,4.5,5,,Kinki,,,,,60%,40%,0%,0%,0%
Ishiya,4.0,8,,Kinki,,,,,25%,63%,0%,12%,0%
"Suiba, Shijo Kawaramachi",4.0,9,$,Kinki,,,,,22%,33%,45%,0%,0%
Tiopepe,4.5,6,$$ - $$$,Kinki,,,,,51%,33%,16%,0%,0%
Neki - International Fellowship Space,5.0,4,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Go-En Kyoto Sanjo Shimmachi,5.0,3,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Kamoichi,5.0,3,$$$$,Kinki,,,,,,,,,
Saketo Oryori Tsugu,4.5,6,,Kinki,,,,,68%,16%,16%,0%,0%
Tenku no Tachinomi Tosaka,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Yasukawa,4.5,5,,Kinki,,,,,60%,40%,0%,0%,0%
Yoshokuya Bonne Femme,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Cumin’s,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
Eitaro-Ya,5.0,4,,Kinki,,,,,,,,,
Yakitori Sukiyanen,4.0,6,,Kinki,,,,,,,,,
Sukiyaki Iroha Main Shop ,4.0,11,,Kinki,5.0,5.0,4.0,,46%,36%,9%,0%,9%
Maboroshi no Chuka Soba Katoya Shijo Nibojiro,3.5,21,$$ - $$$,Kinki,4.0,3.5,4.0,,19%,39%,28%,14%,0%
Iimori,4.5,5,,Kinki,,,,,60%,40%,0%,0%,0%
Ichiba Koji Aeon Mall Kyoto Katsuragawa,4.0,8,,Kinki,,,,,25%,63%,12%,0%,0%
Il ZaccaYa,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
"Yakinikuya Sakai, Kyoto Ichijoji",4.0,7,$$ - $$$,Kinki,,,,,44%,14%,42%,0%,0%
Gyoza-No-Ohsho Otesuji,3.5,14,,Kinki,,,,,7%,51%,35%,7%,0%
"Hakata Ikkosha, Kyoto",4.0,17,$$ - $$$,Kinki,4.0,4.0,3.5,,37%,29%,23%,0%,11%
Semplice,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
Seikai No Yamachan Kawaramachi,4.0,8,,Kinki,,,,,0%,75%,25%,0%,0%
Sosaku Chubo Saikatei,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
Capricciosa Kawaramachi Opa,4.0,8,$$ - $$$,Kinki,,,,,25%,38%,37%,0%,0%
Sannenzaka Yubatofu Ihe,4.0,8,,Kinki,4.5,4.0,4.0,,37%,51%,0%,12%,0%
Oumi-Ya,5.0,8,,Kinki,,,,,,,,,
Nishiki Henkotsu,4.0,6,,Kinki,,,,,,,,,
Sukiiya Karasuma Marutamachi,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
McDonald's Hyakumanben,4.0,8,,Kinki,,,,,0%,75%,25%,0%,0%
Yoshida Sakamichi,5.0,4,,Kinki,,,,,100%,0%,0%,0%,0%
Sakeya Daimonji,5.0,4,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Sushi Jin,4.5,5,,Kinki,,,,,,,,,
Katsuragawa Parking Area Noborisen Snack Corner,3.5,13,$,Kinki,,,,,7%,38%,55%,0%,0%
Kyogame,3.5,15,$$ - $$$,Kinki,4.0,3.5,3.5,,20%,42%,26%,6%,6%
Yakiniku Yazawa Kyoto,4.0,10,$$$$,Kinki,5.0,5.0,4.5,,60%,20%,0%,10%,10%
Oniku Dokoro Ginkakuji Onishi,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Sakura Tea House Daimaru Kyoto,3.5,11,,Kinki,3.5,4.0,3.5,,9%,46%,45%,0%,0%
Daniel's Luce,4.5,4,$$ - $$$,Kinki,,,,,50%,50%,0%,0%,0%
Suigentei,4.0,11,,Kinki,,,,,46%,36%,0%,9%,9%
Terrace Restaurant Belcanto,3.5,16,$$ - $$$,Kinki,3.5,4.0,3.0,,6%,57%,25%,6%,6%
Kakyo,5.0,4,,Kinki,,,,,100%,0%,0%,0%,0%
Tea Room Kaboku,4.0,5,,Kinki,,,,,20%,80%,0%,0%,0%
Agariya,5.0,4,$$ - $$$,Kinki,,,,,75%,25%,0%,0%,0%
Alsace,4.5,6,,Kinki,,,,,51%,33%,16%,0%,0%
Genpachi Sushi,4.0,10,$$ - $$$,Kinki,,,,,30%,60%,0%,0%,10%
Mikuri,4.0,9,$$$$,Kinki,5.0,4.5,4.5,,56%,22%,11%,0%,11%
Sushimasa,4.5,5,,Kinki,,,,,80%,0%,20%,0%,0%
37 Grill - Bar & Lounge,4.0,5,$$ - $$$,Kinki,,,,,40%,40%,20%,0%,0%
Mushi Yashinai,4.0,7,,Kinki,,,,,28%,44%,28%,0%,0%
Nishibuchi Hanten,4.5,5,,Kinki,,,,,,,,,
Bar Alchemist,4.0,14,$$$$,Kinki,,,,,,,,,
Meshiya Miyamoto Munashi Oike,4.0,5,,Kinki,,,,,,,,,
Tominokoji Yamagishi,4.0,6,,Kinki,,,,,51%,16%,33%,0%,0%
Hakko Shokudo Kamosika,4.5,7,$$ - $$$,Kinki,,,,,72%,14%,0%,0%,14%
Tenka-No-Yakiniku Daishogun Kyoto Eki-Mae,4.0,10,$$ - $$$,Kinki,,,,,,,,,
Shizuya,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
Taverna e Bar il Contadino,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Rokushisui,5.0,4,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Miyako Yasai Kamo Kyoto Aquarium,3.5,18,,Kinki,4.0,3.5,3.5,,22%,41%,27%,5%,5%
Katsuya Racto Yamashina,4.0,6,,Kinki,,,,,33%,51%,16%,0%,0%
St-Marc cafe Kotocross Hankyu Kawaramachi,3.5,17,$$ - $$$,Kinki,3.0,3.0,3.0,,17%,23%,55%,5%,0%
Seahorse,4.0,6,$,Kinki,,,,,,,,,
Capri Shokudo,5.0,3,$$ - $$$,Kinki,,,,,,,,,
Ringer Hut Kyoto Shijo Kawaramachi,4.0,7,,Kinki,,,,,14%,58%,28%,0%,0%
"Indian Restaurant Raju, Hyakumambenten",3.5,10,$$ - $$$,Kinki,4.0,3.5,3.5,,0%,70%,30%,0%,0%
Watanabe,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Fubitosuro,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Caldo,4.0,9,,Kinki,,,,,22%,56%,11%,11%,0%
Donguri Shijo Omiya,4.0,5,,Kinki,,,,,,,,,
Fujiyamapurin,4.0,8,$,Kinki,,,,,12%,76%,0%,12%,0%
Hokusai,4.0,6,,Kinki,,,,,16%,84%,0%,0%,0%
Renkonya,4.0,9,,Kinki,,,,,56%,22%,11%,0%,11%
Kyonishiki Inoue Tsukudani,3.5,10,,Kinki,3.5,3.5,3.5,,0%,60%,40%,0%,0%
Gyoza No Osho Sanjo,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
"Deli Cafe Tamago, Kyoto Kitayama",4.0,7,,Kinki,,,,,28%,44%,28%,0%,0%
Sojikisodo Rokudai,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Senjukaku,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Chinchikurin,4.0,6,,Kinki,,,,,33%,51%,16%,0%,0%
Trattoria Vin Santo,4.5,5,,Kinki,,,,,,,,,
Ukiya Shijokarasuma店,4.0,10,,Kinki,,,,,20%,50%,30%,0%,0%
Tsubone-Ya Shun,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Katsuya,4.0,10,$,Kinki,4.0,4.0,4.5,,30%,40%,30%,0%,0%
"Negitaro, Kyoto Dai-Ichi Hotel",3.5,15,$$ - $$$,Kinki,,,,,,,,,
Lindt Chocolat Cafe Kyoto Shijodori,4.0,7,,Kinki,,,,,14%,58%,28%,0%,0%
Hana no Mai Kyoto Chuoguchi,3.5,9,,Kinki,,,,,11%,45%,44%,0%,0%
Torisei Shimizu,4.5,5,$$ - $$$,Kinki,4.0,4.5,4.0,,60%,20%,20%,0%,0%
Maruman,5.0,3,,Kinki,,,,,,,,,
Marugen Ramen Katsura,4.0,7,,Kinki,,,,,14%,72%,14%,0%,0%
Kyoto Dining Gera Gera,4.0,6,$$ - $$$,Kinki,,,,,33%,51%,16%,0%,0%
Noorani,4.0,10,$$ - $$$,Kinki,,,,,40%,40%,10%,0%,10%
Lotteria Keihan Demachi Yanagi,3.5,19,$$ - $$$,Kinki,3.5,3.5,4.0,,5%,31%,59%,5%,0%
Mantsune,4.5,7,,Kinki,4.0,4.0,3.0,,72%,0%,28%,0%,0%
Bar Owl,5.0,3,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Nishidaya,4.0,7,,Kinki,,,,,44%,28%,28%,0%,0%
Tem-pu,4.5,4,$$ - $$$,Kinki,,,,,50%,50%,0%,0%,0%
Skenoateya Jijibaba,4.5,5,,Kinki,,,,,60%,40%,0%,0%,0%
Champontei Sohonke Nijo Station,3.5,10,,Kinki,,,,,,,,,
Kushikura,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Peekaboo Cafe,4.5,4,$$ - $$$,Kinki,,,,,,,,,
Machiya Shisen Hoshitsukiyo,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
Toku,4.0,5,,Kinki,,,,,40%,40%,20%,0%,0%
Gokenshimo,5.0,4,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Gion Monsen Gion,4.0,8,$$ - $$$,Kinki,,,,,51%,12%,25%,12%,0%
Gyoza-No-Ohsho Misonobashi,4.0,7,,Kinki,,,,,14%,72%,14%,0%,0%
Koryori Takaya,5.0,3,$$$$,Kinki,,,,,100%,0%,0%,0%,0%
Nakagawa,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
Banboo Higashiyama Sanjo,4.5,6,$$ - $$$,Kinki,,,,,,,,,
Izutsu Chamise,4.0,6,,Kinki,,,,,0%,100%,0%,0%,0%
Yoshinoya Kyoto Rakuhoku,4.0,9,,Kinki,,,,,,,,,
Toriijaya,3.5,18,$$ - $$$,Kinki,3.5,3.0,3.0,,0%,51%,44%,5%,0%
Tantoto Wakura Kyoto Yodobashi,4.5,4,,Kinki,,,,,,,,,
Bistro Poanoadoru,5.0,3,,Kinki,,,,,,,,,
Cafe Arbois,4.0,7,,Kinki,,,,,44%,28%,28%,0%,0%
"Yoshinoya, Kyoto Kujo",3.5,15,$,Kinki,4.0,4.0,4.5,,13%,26%,61%,0%,0%
Cafe Cube,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
Kenzo Estate Winery Gion,4.0,5,,Kinki,,,,,20%,80%,0%,0%,0%
Cafe Rokka,4.0,5,,Kinki,,,,,40%,40%,20%,0%,0%
Konabeya Isakichi,5.0,5,,Kinki,,,,,100%,0%,0%,0%,0%
Chicken Cuisine,5.0,4,,Kinki,,,,,100%,0%,0%,0%,0%
Fushimi Yabu Soba,4.0,5,,Kinki,,,,,20%,80%,0%,0%,0%
Karamenya Masumoto Kiyamachi,4.0,6,$$ - $$$,Kinki,,,,,0%,100%,0%,0%,0%
Tsuruki Soba Yamashina,3.5,10,,Kinki,,,,,10%,60%,20%,10%,0%
Kame Bar 8,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
Barcode,5.0,24,$,Kinki,,5.0,5.0,,88%,12%,0%,0%,0%
Nigiri Itcho!,5.0,3,,Kinki,,,,,,,,,
Teppan Dining Garyu,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
Doutor Coffee Shop Esso Tennocho,3.5,10,,Kinki,,,,,0%,60%,40%,0%,0%
Soil,4.0,8,$$ - $$$,Kinki,,,,,38%,25%,25%,12%,0%
Mizudaki Manjiro,4.5,5,,Kinki,,,,,40%,60%,0%,0%,0%
Japanese Mazemen Maruta,4.0,6,$$ - $$$,Kinki,,,,,,,,,
Tazuru Annex Senkaku,4.5,5,,Kinki,,,,,,,,,
Takoyaki Bar Takoro,4.0,9,$$ - $$$,Kinki,,,,,22%,45%,33%,0%,0%
Soup Shokudotakara,4.0,7,,Kinki,,,,,14%,58%,28%,0%,0%
Kushi-Ya Monogatari Aeon Mall Kyoto Gojo,4.5,5,,Kinki,,,,,,,,,
"Ganesha, Karasuma Imadegawa",5.0,3,,Kinki,,,,,,,,,
Switdzland Rhone Honten,5.0,4,,Kinki,,,,,75%,25%,0%,0%,0%
"Ronde, Dining Cafe & Bar",3.5,23,$$ - $$$,Kinki,4.0,3.5,,,13%,53%,13%,13%,8%
Sai,4.0,7,$$ - $$$,Kinki,,,,,0%,86%,14%,0%,0%
Tokuchan,5.0,3,,Kinki,,,,,100%,0%,0%,0%,0%
Sushi Sakaba Hirashima,4.0,5,,Kinki,,,,,,,,,
Lobby Lounge Mizunone,4.5,4,,Kinki,,,,,,,,,
Mix Panda Coffee,5.0,3,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Ginza Lion Kyoto-Avanti,3.5,24,$$ - $$$,Kinki,,,,,,,,,
Sobadokoro Echigo,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
Sumibi Genghis Khan Semmonten Bengara,4.5,4,,Kinki,,,,,50%,50%,0%,0%,0%
Miltons Kyoto,5.0,3,$$$$,Kinki,,,,,,,,,
Kurazushi Kyoto Gaidaimae,3.5,12,$$ - $$$,Kinki,,,,,16%,33%,51%,0%,0%
"Le Croissant Shop Petit, Kyoto Rokkaku",4.0,8,$$ - $$$,Kinki,,,,,25%,38%,37%,0%,0%
Japanese Restaurant Bon,4.0,7,,Kinki,,,,,28%,44%,28%,0%,0%
Panda yori Nodoka,4.0,7,,Kinki,,,,,14%,72%,14%,0%,0%
Yakiniku Bunya,5.0,3,$$$$,Kinki,,,,,100%,0%,0%,0%,0%
Italian Bal Treotto,4.5,7,,Kinki,,,,,44%,42%,14%,0%,0%
Marufuku,4.0,10,$$ - $$$,Kinki,,,,,,,,,
Forest,4.0,6,,Kinki,,,,,16%,68%,16%,0%,0%
